Timestamp,Gender,Webcam status during class,Mic status during class,Which device do you use for online classes?,Did you face any of the following issues after the initiation of online classes?,Are you able to understand the concepts through online classes?,Which teaching methodology do you prefer?,Are you interested in attending online classes?,If you are given a choice between online classes and offline classes which one will you choose?,Comments on online classes
8-31-2020 18:35:30,Female,On (When teacher asks),On (To answer Teacher),Laptop,"Eye Strain, Back pain, Headache",No,Presentations (ppt),Yes,Offline classes,"there are some positive and negatives , hope we try to sort the negatives"
8-31-2020 18:35:55,Male,On (When teacher asks),Always On,"Phone, Laptop","Eye Strain, Back pain, Headache, Stress",No,Black board teaching,No,Offline classes,Insted students getting their classes they are suffering a lot.. Many health issues and more over students are not able to understand. 
8-31-2020 18:36:01,Female,On (When teacher asks),On (To answer Teacher),Phone,No Issue,Yes,Black board teaching,Yes,Offline classes,No problems with these classes ....but always the thought comes into mind that offline classes are really best comparing to these online classes....but this is the best option at present pandemic situation
8-31-2020 18:36:10,Male,On (When teacher asks),On (To answer Teacher),Laptop,No Issue,Yes,Presentations (ppt),Yes,Offline classes,Good
8-31-2020 18:36:55,Female,Off (Untidy appearance),On (To answer Teacher),Phone,Stress,No,Black board teaching,No,Offline classes,
8-31-2020 18:37:12,Female,Off (Other reason),Off (Do not want to reply),Laptop,Headache,No,Black board teaching,No,Offline classes,
8-31-2020 18:37:16,Male,On (When teacher asks),Off (Other reason),Tab,"Eye Strain, Back pain",Yes,Black board teaching,Yes,Offline classes,
8-31-2020 18:37:42,Female,On (When teacher asks),On (To answer Teacher),"Phone, Laptop","Eye Strain, Headache",No,Black board teaching,No,Offline classes,
8-31-2020 18:37:43,Female,Off (No webcam available),On (To answer Teacher),Computer,Back pain,Yes,Black board teaching,Yes,Offline classes,
8-31-2020 18:38:31,Male,On (When teacher asks),On (To answer Teacher),Laptop,Other,Yes,Black board teaching,No,Offline classes,not all good
8-31-2020 18:38:52,Female,Off (Other reason),On (To answer Teacher),Laptop,Eye Strain,Yes,Black board teaching,Yes,Offline classes,
8-31-2020 18:39:49,Male,On (When teacher asks),On (To answer Teacher),Phone,"Eye Strain, Headache",Yes,Black board teaching,No,Offline classes,
8-31-2020 18:40:01,Male,Off (No webcam available),Off (No mic available),Computer,"Eye Strain, Headache",Yes,Presentations (ppt),Yes,Online classes,"We can't continuously listen to class in online.there are so many issues cme in between online classes. Eg: network problem, system hang,power cut etc. Atleast of 10 min break shoukd be given after everyclass. "
8-31-2020 18:40:09,Male,On (When teacher asks),On (To answer Teacher),"Phone, Laptop","Eye Strain, Back pain",No,Black board teaching,Yes,Offline classes,We are not able to concentrate on online classes.For many there are net issues.
8-31-2020 18:40:16,Female,Off (Untidy appearance),On (To answer Teacher),Phone,Eye Strain,Yes,Black board teaching,Yes,Offline classes,I think I its necessary to have online classes during this pandemic
8-31-2020 18:40:47,Female,Off (No webcam available),On (To answer Teacher),Laptop,"Eye Strain, Back pain, Headache",No,Presentations (ppt),No,Offline classes,
8-31-2020 18:41:08,Female,On (When teacher asks),On (To answer Teacher),Phone,"Eye Strain, Back pain, Headache, Stress",No,Black board teaching,No,Offline classes,Worst 
8-31-2020 18:42:12,Female,On (When teacher asks),On (To answer Teacher),Laptop,"Eye Strain, Back pain",Yes,Black board teaching,Yes,Offline classes,"It good, strain our eyes back pain and in 1 day is should contain   only 2 to 3 class "
8-31-2020 18:42:15,Female,On (When teacher asks),On (To answer Teacher),"Phone, Laptop",Back pain,Yes,Presentations (ppt),Yes,Offline classes,its pretty good 
8-31-2020 18:43:59,Male,On (All the time),On (To answer Teacher),Laptop,Eye Strain,No,Presentations (ppt),No,Offline classes,
8-31-2020 18:44:51,Female,On (When teacher asks),Off (Do not want to reply),"Phone, Laptop","Eye Strain, Back pain",Yes,Black board teaching,No,Offline classes,
8-31-2020 18:45:10,Female,Off (No webcam available),On (To answer Teacher),Phone,"Eye Strain, Headache",Yes,Black board teaching,No,Offline classes,
8-31-2020 18:45:12,Female,On (When teacher asks),On (To answer Teacher),Phone,Eye Strain,No,Presentations (ppt),No,Offline classes,
8-31-2020 18:46:06,Female,On (When teacher asks),On (To answer Teacher),"Phone, Tab",No Issue,No,Black board teaching,No,Offline classes,
8-31-2020 18:46:09,Male,On (When teacher asks),On (To answer Teacher),Phone,"Eye Strain, Back pain, Headache, Stress, Other",No,Black board teaching,No,Offline classes,
8-31-2020 18:46:39,Male,On (When teacher asks),On (To answer Teacher),Laptop,Back pain,No,Black board teaching,Yes,Online classes,Could be done better if other resources were utilized to present instead of just reading out the PPT
8-31-2020 18:48:07,Male,On (When teacher asks),On (To answer Teacher),Phone,"Eye Strain, Back pain, Headache",No,Black board teaching,No,Offline classes,
8-31-2020 18:49:34,Male,On (When teacher asks),On (To answer Teacher),Laptop,"Eye Strain, Back pain, Stress",No,Black board teaching,No,Offline classes,"Online platform is good only when necessary but not as a habit and it should be interactive not like explaing the ppt and raising polles 
 "
8-31-2020 18:50:16,Male,Off (No webcam available),Off (No mic available),Phone,"Eye Strain, Headache",No,Black board teaching,No,Offline classes,Plz stop this online classes 😭
8-31-2020 18:50:41,Male,On (All the time),Always On,"Laptop, Computer","Eye Strain, Back pain",Yes,Presentations (ppt),Yes,Online classes,
8-31-2020 18:50:50,Male,On (When teacher asks),On (To answer Teacher),Laptop,Headache,Yes,Presentations (ppt),Yes,Online classes,
8-31-2020 18:51:00,Female,On (When teacher asks),On (To answer Teacher),"Phone, Laptop",Stress,No,Black board teaching,No,Offline classes,Paying attention in the class is missing. As their is no perfect monitoring student involves in opening other social media and not listening to class.
8-31-2020 18:51:55,Female,On (When teacher asks),On (To answer Teacher),Laptop,Stress,Yes,Presentations (ppt),Yes,Offline classes,Nothing 
8-31-2020 18:52:34,Male,On (When teacher asks),On (To answer Teacher),Laptop,"Eye Strain, Back pain, Headache, Stress",Yes,Black board teaching,No,Offline classes,No any
8-31-2020 18:52:59,Male,On (All the time),On (To answer Teacher),"Phone, Laptop","Eye Strain, Back pain, Headache, Stress",No,Black board teaching,Yes,Offline classes,
8-31-2020 18:54:18,Male,On (When teacher asks),On (To answer Teacher),Laptop,No Issue,Yes,Presentations (ppt),No,Offline classes,
8-31-2020 18:54:27,Female,On (When teacher asks),On (To answer Teacher),"Phone, Laptop","Eye Strain, Headache",Yes,Presentations (ppt),Yes,Online classes,
8-31-2020 18:54:49,Male,Off (No webcam available),Off (Other reason),"Phone, Tab, Laptop, Computer","Eye Strain, Headache, Stress",Yes,Black board teaching,No,Offline classes,Practical knowledge is good and better to understand 
8-31-2020 18:54:55,Male,On (When teacher asks),On (To answer Teacher),Phone,"Eye Strain, Headache",No,Presentations (ppt),No,Offline classes,
8-31-2020 18:55:27,Male,On (When teacher asks),On (To answer Teacher),"Tab, Laptop",No Issue,Yes,Presentations (ppt),Yes,Offline classes,I think it's very wonderful virtual platform through where we can enchance knowledge with making interacting to each other in comfortable manner
8-31-2020 18:55:39,Male,On (When teacher asks),On (To answer Teacher),Laptop,Back pain,Yes,Presentations (ppt),Yes,Online classes,Other
8-31-2020 18:56:08,Female,Off (No webcam available),Off (No mic available),Phone,"Eye Strain, Back pain, Headache, Stress",No,Black board teaching,No,Offline classes,
8-31-2020 18:57:07,Male,On (When teacher asks),On (To answer Teacher),Laptop,No Issue,Yes,Presentations (ppt),Yes,Online classes,good
8-31-2020 18:57:39,Male,On (All the time),Always On,Phone,Back pain,Yes,Presentations (ppt),Yes,Offline classes,
8-31-2020 18:57:41,Male,Off (No webcam available),Off (Other reason),Laptop,"Eye Strain, Headache",No,Black board teaching,No,Offline classes,I have an old laptop and its webcam and mic are not working.
8-31-2020 18:57:50,Male,On (When teacher asks),On (To answer Teacher),"Tab, Laptop","Eye Strain, Back pain, Headache, Stress",Yes,Black board teaching,No,Offline classes,
8-31-2020 18:58:15,Female,On (All the time),On (To answer Teacher),Phone,Eye Strain,Yes,Presentations (ppt),No,Offline classes,No
8-31-2020 18:58:46,Male,Off (Other reason),Off (Other reason),Phone,"Eye Strain, Back pain, Headache",Yes,Presentations (ppt),Yes,Online classes,n
8-31-2020 19:01:00,Female,On (When teacher asks),On (To answer Teacher),Laptop,"Eye Strain, Headache",Yes,Presentations (ppt),Yes,Offline classes,
8-31-2020 19:01:05,Female,Off (Other reason),On (To answer Teacher),Phone,No Issue,Yes,Presentations (ppt),Yes,Online classes,
8-31-2020 19:02:27,Male,On (When teacher asks),On (To answer Teacher),Laptop,"Eye Strain, Back pain",Yes,Black board teaching,Yes,Offline classes,
8-31-2020 19:02:31,Female,Off (Other reason),Off (Other reason),"Phone, Laptop",No Issue,Yes,Presentations (ppt),Yes,Offline classes,
8-31-2020 19:03:26,Male,On (When teacher asks),On (To answer Teacher),Laptop,"Eye Strain, Back pain, Headache, Stress",Yes,Presentations (ppt),Yes,Online classes,Better to give less home work 
8-31-2020 19:04:04,Male,On (All the time),Always On,"Phone, Laptop","Eye Strain, Back pain, Headache, Stress, Other",No,Black board teaching,No,Offline classes,
8-31-2020 19:04:17,Male,On (All the time),Always On,"Phone, Laptop","Eye Strain, Back pain, Headache, Stress, Other",No,Black board teaching,No,Offline classes,
8-31-2020 19:05:32,Male,Off (Other reason),On (To answer Teacher),Phone,"Eye Strain, Back pain, Headache, Stress",No,Black board teaching,No,Offline classes,
8-31-2020 19:06:01,Male,Off (Untidy appearance),Off (Do not want to reply),Phone,"Eye Strain, Back pain, Headache, Stress",No,Black board teaching,No,Offline classes,"Waste of time actually 
Unable to concentrate!! 
Idk wtf I'm going to get with this sort of online life!!
"
8-31-2020 19:06:13,Female,On (When teacher asks),On (To answer Teacher),"Phone, Laptop","Eye Strain, Headache",Yes,Black board teaching,No,Offline classes,
8-31-2020 19:06:37,Male,Off (Other reason),On (To answer Teacher),Phone,"Eye Strain, Headache",No,Black board teaching,No,Offline classes,
8-31-2020 19:06:52,Male,On (When teacher asks),On (To answer Teacher),Laptop,No Issue,Yes,Black board teaching,Yes,Offline classes,
8-31-2020 19:07:01,Male,On (All the time),On (To answer Teacher),Laptop,"Eye Strain, Headache, Stress, Other",No,Black board teaching,No,Offline classes,
8-31-2020 19:08:12,Female,On (All the time),On (To answer Teacher),Laptop,No Issue,Yes,Presentations (ppt),Yes,Online classes,Good
8-31-2020 19:09:48,Female,Off (Shy to switch on),On (To answer Teacher),"Phone, Laptop, Computer","Eye Strain, Headache, Stress",Yes,Presentations (ppt),No,Online classes,"Firstly,In this COVID pandemic I personally don’t wNt to attend these stupid classes.
Secondly,no one is interested.
So pls don’t attend "
8-31-2020 19:11:40,Female,On (When teacher asks),On (To answer Teacher),"Phone, Laptop","Eye Strain, Headache, Stress",No,Black board teaching,Yes,Offline classes,no motivation can make every student be active throughout the class due to surrounds 
8-31-2020 19:13:59,Female,On (All the time),On (To answer Teacher),Phone,"Eye Strain, Back pain, Headache, Stress",No,Presentations (ppt),No,Offline classes,
8-31-2020 19:15:05,Female,Off (Other reason),On (To answer Teacher),"Phone, Laptop",Back pain,Yes,Black board teaching,No,Offline classes,Online classes are not as effective as offline classes. The teacher-student interaction is a key feature of education. I personally thought that this kind of online education would be prevailing in future. But due to the pandemic we are ought to listen the online classes. And the way we listen to either an online class or an offline depends on the way a teacher teaches as well. 
8-31-2020 19:15:58,Female,On (When teacher asks),On (To answer Teacher),"Phone, Laptop","Eye Strain, Headache",Yes,Black board teaching,Yes,Offline classes,Make interesting
8-31-2020 19:17:20,Male,On (When teacher asks),On (To answer Teacher),Computer,Back pain,No,Black board teaching,No,Offline classes,"Lectures are trying their level best 
But we prefer offline classes"
8-31-2020 19:18:43,Male,On (When teacher asks),On (To answer Teacher),Laptop,Headache,Yes,Presentations (ppt),Yes,Online classes,
8-31-2020 19:21:58,Male,On (All the time),Always On,Laptop,No Issue,Yes,Presentations (ppt),Yes,Online classes,
8-31-2020 19:23:03,Female,On (When teacher asks),On (To answer Teacher),"Phone, Laptop",Eye Strain,Yes,Presentations (ppt),Yes,Offline classes,It is good in difficult time but offline makes us interact more
8-31-2020 19:23:34,Male,On (When teacher asks),On (To answer Teacher),"Phone, Laptop",Other,Yes,Black board teaching,Yes,Offline classes,
8-31-2020 19:24:28,Female,Off (Other reason),On (To answer Teacher),Laptop,Eye Strain,Yes,Black board teaching,Yes,Offline classes,
8-31-2020 19:25:14,Female,Off (Other reason),On (To answer Teacher),Laptop,"Eye Strain, Back pain",No,Presentations (ppt),No,Offline classes,We can't concentrate on it for long .. 
8-31-2020 19:27:12,Female,On (When teacher asks),On (To answer Teacher),Laptop,Back pain,Yes,Presentations (ppt),Yes,Offline classes,
8-31-2020 19:28:13,Male,On (When teacher asks),On (To answer Teacher),"Phone, Tab, Laptop","Eye Strain, Stress",Yes,Presentations (ppt),Yes,Online classes,
8-31-2020 19:32:05,Female,On (When teacher asks),On (To answer Teacher),Laptop,No Issue,Yes,Black board teaching,No,Offline classes,
8-31-2020 19:34:32,Male,Off (Other reason),On (To answer Teacher),"Phone, Laptop","Eye Strain, Back pain, Headache, Stress, Other",No,Presentations (ppt),No,Offline classes,Online classes are waste we cant understand anything please as soon as possible start the college
8-31-2020 19:35:08,Male,Off (Shy to switch on),Off (Do not want to reply),Phone,"Eye Strain, Back pain, Headache, Stress, Other",No,Black board teaching,No,Offline classes,
8-31-2020 19:39:39,Male,Off (No webcam available),Off (No mic available),Phone,Stress,No,Black board teaching,No,Offline classes,It's not perfect for all the students 
8-31-2020 19:40:10,Female,On (When teacher asks),Off (Other reason),Laptop,Headache,No,Black board teaching,No,Offline classes,Need offline classes for better understanding the concepts. 
8-31-2020 19:40:55,Male,On (When teacher asks),On (To answer Teacher),"Phone, Laptop","Eye Strain, Back pain, Headache, Stress, Other",No,Black board teaching,No,Offline classes,"Too boring, demands a lot of time "
8-31-2020 19:41:20,Male,Off (Other reason),On (To answer Teacher),Phone,"Eye Strain, Back pain",No,Presentations (ppt),No,Offline classes,
8-31-2020 19:42:07,Female,On (When teacher asks),On (To answer Teacher),Phone,No Issue,No,Black board teaching,No,Offline classes,"It's difficult to understand the concepts
Many network issues while listening the class"
8-31-2020 19:43:00,Female,Off (No webcam available),Off (No mic available),Phone,"Eye Strain, Back pain, Headache, Stress, Other",No,Black board teaching,No,Offline classes,"It's okay to have some delaying in classes...and not necessary in having online classes
They do  ask for fee....but are they paying our internet bills?"
8-31-2020 19:43:02,Male,On (All the time),Always On,Laptop,No Issue,Yes,Black board teaching,Yes,Offline classes,Good
8-31-2020 19:43:11,Male,Off (No webcam available),Off (Other reason),Phone,"Eye Strain, Headache",No,Black board teaching,No,Online classes,
8-31-2020 19:44:41,Female,Off (Shy to switch on),On (To answer Teacher),Phone,No Issue,No,Presentations (ppt),No,Offline classes,The way of teaching should grab every students attention 
8-31-2020 19:46:04,Female,Off (Shy to switch on),On (To answer Teacher),Phone,"Eye Strain, Stress",No,Presentations (ppt),No,Offline classes,
8-31-2020 19:46:45,Male,On (When teacher asks),On (To answer Teacher),"Phone, Laptop",Back pain,Yes,Presentations (ppt),Yes,Online classes,
8-31-2020 19:47:07,Female,On (When teacher asks),On (To answer Teacher),Phone,Headache,No,Black board teaching,No,Offline classes,
8-31-2020 19:48:53,Female,On (When teacher asks),On (To answer Teacher),"Phone, Laptop",No Issue,Yes,Black board teaching,Yes,Offline classes,Having issues with network sometimes in online classes
8-31-2020 19:49:21,Male,On (All the time),On (To answer Teacher),"Phone, Laptop","Eye Strain, Back pain, Headache",Yes,Black board teaching,No,Offline classes,  
8-31-2020 19:50:37,Female,Off (Other reason),On (To answer Teacher),Phone,"Eye Strain, Back pain, Stress, Other",No,Black board teaching,No,Offline classes,As my laptop is a very old one and has just 4GB ram I'm unable to run zoom and other apps like visual studio code simultaneously. And if I do such things my laptop gets shutdown automatically. And it is not possible for me to buy an other laptop in this lockdown situation. Also I cannot share screen in my system for more than  10-15 mins. As it gets shutdown in that case as well. 
8-31-2020 19:51:44,Male,On (When teacher asks),On (To answer Teacher),Laptop,Eye Strain,Yes,Presentations (ppt),No,Offline classes,"Only preferred when there is no other option , else offline is best "
8-31-2020 19:52:06,Female,On (When teacher asks),On (To answer Teacher),Laptop,"Back pain, Stress",Yes,Black board teaching,Yes,Offline classes,
8-31-2020 19:52:06,Female,On (When teacher asks),On (To answer Teacher),Laptop,"Eye Strain, Back pain, Headache, Stress",No,Black board teaching,No,Offline classes,not nice
8-31-2020 19:52:29,Female,Off (No webcam available),Off (No mic available),Computer,Back pain,Yes,Presentations (ppt),Yes,Offline classes,"It is better sometimes but not all the times
"
8-31-2020 19:53:14,Female,On (When teacher asks),On (To answer Teacher),Laptop,"Back pain, Stress",No,Black board teaching,Yes,Offline classes,
8-31-2020 19:53:20,Male,On (When teacher asks),Off (Do not want to reply),Laptop,"Eye Strain, Back pain, Stress",No,Presentations (ppt),No,Online classes,
8-31-2020 19:53:21,Male,On (When teacher asks),On (To answer Teacher),Phone,Eye Strain,No,Black board teaching,No,Offline classes,Nothing! 
8-31-2020 19:53:34,Female,Off (Untidy appearance),Off (No mic available),Tab,Headache,No,Black board teaching,Yes,Offline classes,No intrested
8-31-2020 19:54:10,Male,On (All the time),Off (Do not want to reply),Computer,"Eye Strain, Back pain, Headache, Stress",Yes,Presentations (ppt),Yes,Online classes,Good
8-31-2020 19:54:42,Female,Off (Other reason),Off (No mic available),Laptop,"Eye Strain, Back pain, Headache, Stress",Yes,Black board teaching,Yes,Online classes,Good
8-31-2020 19:55:22,Female,Off (Shy to switch on),Off (No mic available),Laptop,Headache,No,Presentations (ppt),No,Offline classes,Not interesting
8-31-2020 19:56:00,Male,On (When teacher asks),On (To answer Teacher),Laptop,No Issue,No,Black board teaching,Yes,Offline classes,
8-31-2020 19:56:03,Male,Off (Other reason),Off (Other reason),"Phone, Tab, Laptop, Computer","Eye Strain, Back pain, Headache, Stress, Other",No,Black board teaching,No,Offline classes,"ONLINE CLASS IS WASTE OF TIME,EVERYONE KNOWS THAT INCLUDING PROFESSOR'S. THEY JUST DO IT BECAUSE OF HEADACHES, THEY DONT DO IT BY HEART, WASTE OF OUR TIME,THEIR TIME,EVERYBODY TIME"
8-31-2020 19:56:47,Male,On (When teacher asks),On (To answer Teacher),"Phone, Laptop","Eye Strain, Back pain, Headache, Stress",No,Black board teaching,No,Offline classes,"Offline classes are much more effective and interesting than online classes. So, I don't like attending or listening online classes than offline."
8-31-2020 19:57:38,Male,On (All the time),Always On,Phone,Eye Strain,No,Black board teaching,No,Offline classes,Say no to online classes and ban the online classes
8-31-2020 19:59:40,Female,Off (No webcam available),Off (No mic available),Laptop,"Eye Strain, Back pain, Headache, Stress",No,Black board teaching,No,Offline classes,Online classes are available for each and every student some are staying in villages their we do not have proper data we don't have any wifi available...we are not able lo listen properly if the faculty is asking any questions we are not able lo answer then...  We do not have 3-4 rooms in a house to listen with out any of the disturbance.. We are suffering from eye strain a lot 
8-31-2020 19:59:58,Female,On (When teacher asks),On (To answer Teacher),Laptop,No Issue,Yes,Presentations (ppt),Yes,Online classes,It’s better than offline 
8-31-2020 20:01:27,Female,On (When teacher asks),On (To answer Teacher),"Phone, Tab, Laptop","Eye Strain, Back pain, Headache",No,Black board teaching,No,Offline classes,
8-31-2020 20:02:13,Female,On (All the time),On (To answer Teacher),Laptop,"Eye Strain, Back pain",Yes,Presentations (ppt),Yes,Online classes,Good
8-31-2020 20:02:19,Female,On (When teacher asks),On (To answer Teacher),Phone,"Eye Strain, Back pain, Headache, Stress",No,Black board teaching,No,Offline classes,
8-31-2020 20:03:35,Female,On (All the time),On (To answer Teacher),Laptop,No Issue,Yes,Presentations (ppt),Yes,Online classes,Good.
8-31-2020 20:09:00,Male,On (When teacher asks),On (To answer Teacher),"Phone, Tab, Laptop, Computer","Headache, Stress",No,Presentations (ppt),No,Offline classes,
8-31-2020 20:09:02,Male,On (When teacher asks),On (To answer Teacher),"Phone, Laptop",Other,No,Presentations (ppt),Yes,Offline classes,
8-31-2020 20:09:34,Female,Off (Other reason),On (To answer Teacher),Phone,Back pain,No,Presentations (ppt),No,Offline classes,
8-31-2020 20:12:06,Male,On (All the time),On (To answer Teacher),Laptop,Eye Strain,Yes,Presentations (ppt),No,Online classes,
8-31-2020 20:13:27,Female,On (When teacher asks),On (To answer Teacher),Computer,Back pain,Yes,Black board teaching,Yes,Offline classes,The explanation is good through the online classes.
8-31-2020 20:13:46,Male,On (When teacher asks),On (To answer Teacher),Phone,Headache,No,Presentations (ppt),No,Offline classes,
8-31-2020 20:21:21,Female,On (When teacher asks),On (To answer Teacher),Laptop,Eye Strain,No,Black board teaching,No,Offline classes,Offline is best
8-31-2020 20:22:03,Female,On (All the time),Always On,"Phone, Laptop",No Issue,Yes,Black board teaching,Yes,Offline classes,For the present situation we have to prefer for online classes 
8-31-2020 20:23:21,Female,Off (No webcam available),Off (No mic available),Phone,"Eye Strain, Back pain, Headache, Stress, Other",No,Black board teaching,No,Offline classes,
8-31-2020 20:28:16,Male,On (All the time),On (To answer Teacher),Laptop,Eye Strain,No,Black board teaching,No,Offline classes,
8-31-2020 20:36:24,Female,On (When teacher asks),On (To answer Teacher),Laptop,Stress,Yes,Presentations (ppt),Yes,Offline classes,Nothing 
8-31-2020 20:36:38,Male,On (When teacher asks),On (To answer Teacher),Phone,"Eye Strain, Other",Yes,Presentations (ppt),Yes,Offline classes,It is ok but offline classes are more interesting 
8-31-2020 20:36:45,Male,Off (Other reason),Off (Other reason),Laptop,"Eye Strain, Back pain, Headache, Stress, Other",Yes,Presentations (ppt),Yes,Online classes,
8-31-2020 20:37:04,Female,On (When teacher asks),On (To answer Teacher),"Phone, Laptop",Other,Yes,Presentations (ppt),Yes,Offline classes,
8-31-2020 20:37:08,Female,Off (No webcam available),Off (Other reason),Phone,Stress,No,Black board teaching,No,Offline classes,Cancel online classes
8-31-2020 20:38:23,Female,Off (Shy to switch on),On (To answer Teacher),"Phone, Laptop, Computer","Eye Strain, Headache, Stress",Yes,Presentations (ppt),No,Online classes,"Firstly,In this COVID pandemic I personally don’t wNt to attend these stupid classes.
Secondly,no one is interested.
So pls don’t attend "
8-31-2020 20:39:38,Male,On (When teacher asks),On (To answer Teacher),Tab,"Eye Strain, Headache",Yes,Presentations (ppt),No,Offline classes,Offline > Online
8-31-2020 20:40:05,Male,Off (Other reason),On (To answer Teacher),Phone,"Eye Strain, Back pain, Headache, Stress",Yes,Black board teaching,No,Offline classes,
8-31-2020 20:41:07,Male,On (When teacher asks),On (To answer Teacher),Phone,"Back pain, Headache",Yes,Presentations (ppt),Yes,Offline classes,Just keep 30mns a class
8-31-2020 20:43:40,Female,Off (Other reason),On (To answer Teacher),Laptop,"Back pain, Headache",Yes,Black board teaching,Yes,Offline classes,
8-31-2020 20:45:51,Male,On (When teacher asks),On (To answer Teacher),Phone,"Headache, Stress",No,Black board teaching,No,Offline classes,
8-31-2020 21:03:52,Female,Off (Shy to switch on),On (To answer Teacher),Phone,Headache,Yes,Black board teaching,No,Offline classes,
8-31-2020 21:08:17,Female,On (When teacher asks),On (To answer Teacher),Phone,"Eye Strain, Back pain, Headache",Yes,Presentations (ppt),Yes,Offline classes,When there is a power cut we are unable to connect until power comes
8-31-2020 21:09:00,Male,Off (Shy to switch on),Off (Do not want to reply),"Phone, Laptop",No Issue,Yes,Black board teaching,Yes,Offline classes,No comments 
8-31-2020 21:15:20,Female,Off (Shy to switch on),On (To answer Teacher),Phone,"Eye Strain, Back pain",No,Black board teaching,No,Online classes,
8-31-2020 21:16:56,Male,Off (Shy to switch on),Off (Do not want to reply),"Phone, Laptop","Eye Strain, Back pain, Headache, Stress, Other",No,Black board teaching,No,Offline classes,Sleepy
8-31-2020 21:18:54,Female,On (When teacher asks),On (To answer Teacher),Laptop,"Eye Strain, Back pain, Headache, Stress",Yes,Presentations (ppt),Yes,Offline classes,
8-31-2020 21:20:20,Male,Off (Other reason),Off (Other reason),Laptop,Back pain,No,Black board teaching,No,Offline classes,Eradicate this
8-31-2020 21:20:54,Male,On (When teacher asks),On (To answer Teacher),"Phone, Laptop","Eye Strain, Headache, Stress",No,Black board teaching,No,Offline classes,
8-31-2020 21:21:01,Female,Off (Untidy appearance),Off (Other reason),"Phone, Laptop","Back pain, Headache",No,Black board teaching,No,Offline classes,
8-31-2020 21:23:23,Male,Off (Shy to switch on),On (To answer Teacher),Laptop,No Issue,Yes,Presentations (ppt),Yes,Offline classes,
8-31-2020 21:26:05,Male,Off (Other reason),On (To answer Teacher),Laptop,"Eye Strain, Back pain, Headache, Stress, Other",No,Black board teaching,No,Offline classes,Not useful 
8-31-2020 21:27:15,Female,On (When teacher asks),On (To answer Teacher),"Laptop, Computer","Eye Strain, Back pain, Headache",Yes,Black board teaching,No,Offline classes,
8-31-2020 21:28:09,Female,Off (Untidy appearance),On (To answer Teacher),"Phone, Tab, Laptop, Computer","Eye Strain, Back pain, Headache, Stress, Other",No,Black board teaching,No,Offline classes,
8-31-2020 21:29:04,Male,Off (Other reason),Off (Other reason),"Phone, Laptop","Eye Strain, Back pain, Headache, Stress",No,Presentations (ppt),No,Offline classes,its tiring 
8-31-2020 21:30:30,Male,On (When teacher asks),On (To answer Teacher),"Phone, Laptop","Eye Strain, Back pain, Headache",No,Black board teaching,No,Offline classes,
8-31-2020 21:31:57,Male,On (All the time),Always On,Phone,No Issue,Yes,Presentations (ppt),Yes,Offline classes,
8-31-2020 21:34:00,Male,Off (Shy to switch on),On (To answer Teacher),"Phone, Laptop","Eye Strain, Back pain, Headache, Stress",No,Presentations (ppt),No,Offline classes,
8-31-2020 21:34:51,Male,Off (Untidy appearance),On (To answer Teacher),Laptop,"Eye Strain, Back pain, Headache",No,Black board teaching,Yes,Offline classes,
8-31-2020 21:36:19,Female,Off (Untidy appearance),On (To answer Teacher),Laptop,"Eye Strain, Back pain, Headache, Stress, Other",No,Black board teaching,No,Offline classes,Facing many health issues like headache and eye strain. 
8-31-2020 21:36:37,Female,On (When teacher asks),On (To answer Teacher),"Phone, Laptop","Eye Strain, Headache",No,Black board teaching,No,Offline classes,
8-31-2020 21:38:15,Female,Off (Untidy appearance),Off (Do not want to reply),"Phone, Laptop",Headache,No,Presentations (ppt),No,Offline classes,Nothing much say about online classes it's so boring 
8-31-2020 21:42:16,Female,On (When teacher asks),On (To answer Teacher),Laptop,No Issue,Yes,Presentations (ppt),Yes,Online classes,It’s better than offline 
8-31-2020 21:43:01,Female,On (When teacher asks),On (To answer Teacher),Laptop,"Eye Strain, Back pain, Headache, Stress",Yes,Presentations (ppt),Yes,Online classes,
8-31-2020 21:43:40,Female,On (When teacher asks),On (To answer Teacher),Laptop,Headache,No,Black board teaching,No,Offline classes,
8-31-2020 21:46:35,Female,On (All the time),Off (Other reason),Laptop,"Eye Strain, Headache, Stress",Yes,Presentations (ppt),Yes,Offline classes,
8-31-2020 21:56:18,Female,On (When teacher asks),On (To answer Teacher),"Phone, Tab, Laptop","Eye Strain, Back pain, Headache, Stress",No,Presentations (ppt),No,Offline classes,"-We cannot always on our videos as it is disturbing the privacy of our home. 
-Eyes are getting strained while continuously look at it. 
-Many students are facing headache problem and back pain 
-Watching continuously till 4 o'clock everyday is leading to health issues. 
-Internet problems, less bandwidth"
8-31-2020 22:09:56,Female,Off (Other reason),On (To answer Teacher),Laptop,"Back pain, Headache",Yes,Black board teaching,Yes,Offline classes,
8-31-2020 22:18:03,Male,On (All the time),Always On,Phone,Eye Strain,No,Black board teaching,No,Offline classes,Say no to online classes and ban the online classes
8-31-2020 22:21:12,Female,Off (Other reason),Off (Other reason),Laptop,No Issue,Yes,Black board teaching,No,Offline classes,
8-31-2020 22:23:50,Female,Off (Other reason),Off (Other reason),Phone,Other,Yes,Presentations (ppt),Yes,Offline classes,
8-31-2020 22:28:05,Female,Off (No webcam available),On (To answer Teacher),Phone,"Eye Strain, Headache",Yes,Black board teaching,No,Offline classes,
